#    L    TT             EE             BB             TE          
     2   0.227085E+04   0.420787E-01   0.140516E-05   0.906845E+01
     3   0.186742E+04   0.548021E-01   0.281085E-05   0.898505E+01
     4   0.159952E+04   0.469497E-01   0.468594E-05   0.739471E+01
     5   0.141951E+04   0.304396E-01   0.703113E-05   0.540238E+01
     6   0.129472E+04   0.161641E-01   0.984729E-05   0.360767E+01
     7   0.120546E+04   0.794016E-02   0.131354E-04   0.227411E+01
     8   0.114094E+04   0.450592E-02   0.168967E-04   0.145576E+01
     9   0.109499E+04   0.343906E-02   0.211324E-04   0.107847E+01
    10   0.106217E+04   0.324394E-02   0.258439E-04   0.100749E+01
    11   0.103778E+04   0.339099E-02   0.310329E-04   0.110582E+01
    12   0.102128E+04   0.368811E-02   0.367007E-04   0.126120E+01
    13   0.100869E+04   0.396217E-02   0.428493E-04   0.139773E+01
    14   0.100112E+04   0.411435E-02   0.494802E-04   0.148460E+01
    15   0.996829E+03   0.421966E-02   0.565952E-04   0.151923E+01
    16   0.996832E+03   0.447395E-02   0.641963E-04   0.152795E+01
    17   0.100038E+04   0.499024E-02   0.722851E-04   0.153413E+01
    18   0.100579E+04   0.583369E-02   0.808634E-04   0.155775E+01
    19   0.101362E+04   0.699556E-02   0.899331E-04   0.160853E+01
    20   0.102215E+04   0.842655E-02   0.994958E-04   0.168120E+01
    21   0.103191E+04   0.100695E-01   0.109553E-03   0.176764E+01
    22   0.104280E+04   0.118898E-01   0.120107E-03   0.185455E+01
    23   0.105438E+04   0.138784E-01   0.131158E-03   0.193423E+01
    24   0.106695E+04   0.160411E-01   0.142708E-03   0.200058E+01
    25   0.108064E+04   0.183871E-01   0.154759E-03   0.204401E+01
    26   0.109494E+04   0.209417E-01   0.167311E-03   0.206793E+01
    27   0.111011E+04   0.237663E-01   0.180366E-03   0.207829E+01
    28   0.112586E+04   0.268980E-01   0.193923E-03   0.207695E+01
    29   0.114213E+04   0.303417E-01   0.207984E-03   0.207606E+01
    30   0.115915E+04   0.340921E-01   0.222550E-03   0.207283E+01
    31   0.117620E+04   0.381273E-01   0.237620E-03   0.206847E+01
    32   0.119397E+04   0.424607E-01   0.253195E-03   0.204759E+01
    33   0.121196E+04   0.470941E-01   0.269274E-03   0.200871E+01
    34   0.123020E+04   0.520906E-01   0.285858E-03   0.195564E+01
    35   0.124939E+04   0.574332E-01   0.302945E-03   0.188237E+01
    36   0.126870E+04   0.631139E-01   0.320537E-03   0.180174E+01
    37   0.128851E+04   0.691327E-01   0.338631E-03   0.170786E+01
    38   0.130874E+04   0.754651E-01   0.357226E-03   0.160194E+01
    39   0.132932E+04   0.821280E-01   0.376323E-03   0.148280E+01
    40   0.135020E+04   0.891512E-01   0.395920E-03   0.134761E+01
    41   0.137135E+04   0.965599E-01   0.416015E-03   0.119429E+01
    42   0.139276E+04   0.104360E+00   0.436608E-03   0.102367E+01
    43   0.141445E+04   0.112553E+00   0.457697E-03   0.836876E+00
    44   0.143644E+04   0.121136E+00   0.479280E-03   0.633457E+00
    45   0.145879E+04   0.130108E+00   0.501356E-03   0.412641E+00
    46   0.148145E+04   0.139461E+00   0.523924E-03   0.174174E+00
    47   0.150442E+04   0.149197E+00   0.546982E-03  -0.820038E-01
    48   0.152767E+04   0.159311E+00   0.570529E-03  -0.355925E+00
    49   0.155119E+04   0.169797E+00   0.594563E-03  -0.647546E+00
    50   0.157506E+04   0.180662E+00   0.619083E-03  -0.956684E+00
