#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.227085E+04   0.420773E-01   0.000000E+00   0.906845E+01   0.400727E-07  -0.232405E-02  -0.141955E-04
     3   0.186742E+04   0.547993E-01   0.000000E+00   0.898505E+01   0.484618E-07  -0.215759E-02  -0.158417E-04
     4   0.159951E+04   0.469450E-01   0.000000E+00   0.739471E+01   0.555810E-07  -0.207862E-02  -0.138873E-04
     5   0.141950E+04   0.304325E-01   0.000000E+00   0.540238E+01   0.617120E-07  -0.203345E-02  -0.100476E-04
     6   0.129470E+04   0.161542E-01   0.000000E+00   0.360767E+01   0.670224E-07  -0.199818E-02  -0.587119E-05
     7   0.120544E+04   0.792702E-02   0.000000E+00   0.227412E+01   0.716630E-07  -0.196422E-02  -0.251846E-05
     8   0.114091E+04   0.448903E-02   0.000000E+00   0.145577E+01   0.757391E-07  -0.193348E-02  -0.567766E-06
     9   0.109495E+04   0.341793E-02   0.000000E+00   0.107848E+01   0.793397E-07  -0.190768E-02  -0.344532E-07
    10   0.106213E+04   0.321810E-02   0.000000E+00   0.100750E+01   0.825216E-07  -0.188293E-02  -0.571466E-06
    11   0.103772E+04   0.335997E-02   0.000000E+00   0.110584E+01   0.853599E-07  -0.185536E-02  -0.168350E-05
    12   0.102122E+04   0.365141E-02   0.000000E+00   0.126122E+01   0.878591E-07  -0.182479E-02  -0.284834E-05
    13   0.100862E+04   0.391933E-02   0.000000E+00   0.139776E+01   0.900993E-07  -0.179170E-02  -0.361514E-05
    14   0.100104E+04   0.406489E-02   0.000000E+00   0.148463E+01   0.920732E-07  -0.176189E-02  -0.374615E-05
    15   0.996737E+03   0.416309E-02   0.000000E+00   0.151927E+01   0.938386E-07  -0.173368E-02  -0.331993E-05
    16   0.996728E+03   0.440980E-02   0.000000E+00   0.152800E+01   0.953993E-07  -0.170701E-02  -0.266521E-05
    17   0.100026E+04   0.491801E-02   0.000000E+00   0.153419E+01   0.967770E-07  -0.168064E-02  -0.206985E-05
    18   0.100566E+04   0.575291E-02   0.000000E+00   0.155783E+01   0.979988E-07  -0.165326E-02  -0.173435E-05
    19   0.101348E+04   0.690574E-02   0.000000E+00   0.160863E+01   0.990730E-07  -0.162542E-02  -0.161780E-05
    20   0.102199E+04   0.832720E-02   0.000000E+00   0.168132E+01   0.100006E-06  -0.159786E-02  -0.163668E-05
    21   0.103174E+04   0.996016E-02   0.000000E+00   0.176778E+01   0.100815E-06  -0.157024E-02  -0.177044E-05
    22   0.104261E+04   0.117700E-01   0.000000E+00   0.185472E+01   0.101517E-06  -0.154215E-02  -0.199799E-05
    23   0.105417E+04   0.137476E-01   0.000000E+00   0.193442E+01   0.102118E-06  -0.151419E-02  -0.223344E-05
    24   0.106673E+04   0.158988E-01   0.000000E+00   0.200081E+01   0.102624E-06  -0.148705E-02  -0.237593E-05
    25   0.108041E+04   0.182329E-01   0.000000E+00   0.204427E+01   0.103044E-06  -0.146094E-02  -0.232657E-05
    26   0.109469E+04   0.207751E-01   0.000000E+00   0.206823E+01   0.103387E-06  -0.143584E-02  -0.203613E-05
    27   0.110984E+04   0.235867E-01   0.000000E+00   0.207864E+01   0.103659E-06  -0.141113E-02  -0.164971E-05
    28   0.112557E+04   0.267051E-01   0.000000E+00   0.207734E+01   0.103867E-06  -0.138623E-02  -0.134165E-05
    29   0.114182E+04   0.301350E-01   0.000000E+00   0.207650E+01   0.104010E-06  -0.136103E-02  -0.121347E-05
    30   0.115882E+04   0.338710E-01   0.000000E+00   0.207332E+01   0.104088E-06  -0.133563E-02  -0.130550E-05
    31   0.117585E+04   0.378915E-01   0.000000E+00   0.206902E+01   0.104112E-06  -0.131043E-02  -0.148712E-05
    32   0.119361E+04   0.422097E-01   0.000000E+00   0.204820E+01   0.104090E-06  -0.128584E-02  -0.160595E-05
    33   0.121158E+04   0.468274E-01   0.000000E+00   0.200938E+01   0.104024E-06  -0.126202E-02  -0.159027E-05
    34   0.122979E+04   0.518078E-01   0.000000E+00   0.195637E+01   0.103916E-06  -0.123900E-02  -0.141892E-05
    35   0.124897E+04   0.571339E-01   0.000000E+00   0.188317E+01   0.103771E-06  -0.121653E-02  -0.119167E-05
    36   0.126826E+04   0.627976E-01   0.000000E+00   0.180261E+01   0.103590E-06  -0.119436E-02  -0.102611E-05
    37   0.128804E+04   0.687990E-01   0.000000E+00   0.170880E+01   0.103376E-06  -0.117257E-02  -0.991847E-06
    38   0.130826E+04   0.751136E-01   0.000000E+00   0.160296E+01   0.103133E-06  -0.115128E-02  -0.111833E-05
    39   0.132881E+04   0.817583E-01   0.000000E+00   0.148389E+01   0.102861E-06  -0.113045E-02  -0.132267E-05
    40   0.134967E+04   0.887628E-01   0.000000E+00   0.134877E+01   0.102563E-06  -0.111002E-02  -0.149434E-05
    41   0.137080E+04   0.961525E-01   0.000000E+00   0.119553E+01   0.102239E-06  -0.108991E-02  -0.154847E-05
    42   0.139219E+04   0.103933E+00   0.000000E+00   0.102499E+01   0.101892E-06  -0.107008E-02  -0.150150E-05
    43   0.141386E+04   0.112106E+00   0.000000E+00   0.838273E+00   0.101523E-06  -0.105049E-02  -0.139502E-05
    44   0.143582E+04   0.120670E+00   0.000000E+00   0.634929E+00   0.101135E-06  -0.103111E-02  -0.127047E-05
    45   0.145815E+04   0.129621E+00   0.000000E+00   0.414188E+00   0.100728E-06  -0.101188E-02  -0.116915E-05
    46   0.148079E+04   0.138953E+00   0.000000E+00   0.175793E+00   0.100306E-06  -0.992818E-03  -0.112273E-05
    47   0.150373E+04   0.148668E+00   0.000000E+00  -0.803154E-01   0.998678E-07  -0.974005E-03  -0.112475E-05
    48   0.152696E+04   0.158761E+00   0.000000E+00  -0.354171E+00   0.994163E-07  -0.955567E-03  -0.115928E-05
    49   0.155046E+04   0.169225E+00   0.000000E+00  -0.645730E+00   0.989523E-07  -0.937627E-03  -0.121043E-05
    50   0.157431E+04   0.180067E+00   0.000000E+00  -0.954812E+00   0.984769E-07  -0.920308E-03  -0.126236E-05
    51   0.159855E+04   0.191293E+00   0.000000E+00  -0.128109E+01   0.979913E-07  -0.903685E-03  -0.130147E-05
    52   0.162314E+04   0.202898E+00   0.000000E+00  -0.162386E+01   0.974963E-07  -0.887633E-03  -0.132307E-05
    53   0.164797E+04   0.214878E+00   0.000000E+00  -0.198252E+01   0.969927E-07  -0.871982E-03  -0.132467E-05
