#           k/h    P           
   0.100000E-03   0.354692E+03
   0.102020E-03   0.361609E+03
   0.104081E-03   0.368660E+03
   0.106184E-03   0.375849E+03
   0.108329E-03   0.383177E+03
   0.110517E-03   0.390649E+03
   0.112750E-03   0.398266E+03
   0.115027E-03   0.406031E+03
   0.117351E-03   0.413948E+03
   0.119722E-03   0.422018E+03
   0.122140E-03   0.430246E+03
   0.124608E-03   0.438634E+03
   0.127125E-03   0.447186E+03
   0.129693E-03   0.455903E+03
   0.132313E-03   0.464791E+03
   0.134986E-03   0.473851E+03
   0.137713E-03   0.483088E+03
   0.140495E-03   0.492505E+03
   0.143333E-03   0.502104E+03
   0.146228E-03   0.511891E+03
   0.149182E-03   0.521868E+03
   0.152196E-03   0.532039E+03
   0.155271E-03   0.542408E+03
   0.158407E-03   0.552978E+03
   0.161607E-03   0.563754E+03
   0.164872E-03   0.574740E+03
   0.168203E-03   0.585938E+03
   0.171601E-03   0.597355E+03
   0.175067E-03   0.608994E+03
   0.178604E-03   0.620858E+03
   0.182212E-03   0.632953E+03
   0.185893E-03   0.645283E+03
   0.189648E-03   0.657853E+03
   0.193479E-03   0.670666E+03
   0.197388E-03   0.683729E+03
   0.201375E-03   0.697044E+03
   0.205443E-03   0.710619E+03
   0.209594E-03   0.724456E+03
   0.213828E-03   0.738562E+03
   0.218147E-03   0.752941E+03
   0.222554E-03   0.767600E+03
   0.227050E-03   0.782542E+03
   0.231637E-03   0.797774E+03
   0.236316E-03   0.813301E+03
   0.241090E-03   0.829128E+03
   0.245960E-03   0.845262E+03
   0.250929E-03   0.861709E+03
   0.255998E-03   0.878473E+03
   0.261170E-03   0.895562E+03
   0.266446E-03   0.912981E+03
   0.271828E-03   0.930737E+03
   0.277319E-03   0.948836E+03
   0.282922E-03   0.967285E+03
   0.288637E-03   0.986090E+03
   0.294468E-03   0.100526E+04
   0.300417E-03   0.102479E+04
   0.306485E-03   0.104471E+04
   0.312677E-03   0.106501E+04
   0.318993E-03   0.108570E+04
   0.325437E-03   0.110678E+04
   0.332012E-03   0.112828E+04
   0.338719E-03   0.115018E+04
   0.345561E-03   0.117251E+04
   0.352542E-03   0.119527E+04
   0.359664E-03   0.121846E+04
   0.366930E-03   0.124210E+04
   0.374342E-03   0.126619E+04
   0.381904E-03   0.129075E+04
   0.389619E-03   0.131577E+04
   0.397490E-03   0.134128E+04
   0.405520E-03   0.136727E+04
   0.413712E-03   0.139376E+04
   0.422070E-03   0.142075E+04
   0.430596E-03   0.144826E+04
   0.439295E-03   0.147629E+04
   0.448169E-03   0.150486E+04
   0.457222E-03   0.153397E+04
   0.466459E-03   0.156364E+04
   0.475882E-03   0.159387E+04
   0.485496E-03   0.162467E+04
   0.495303E-03   0.165606E+04
   0.505309E-03   0.168804E+04
   0.515517E-03   0.172062E+04
   0.525931E-03   0.175382E+04
   0.536556E-03   0.178765E+04
   0.547395E-03   0.182212E+04
   0.558453E-03   0.185724E+04
   0.569734E-03   0.189301E+04
   0.581244E-03   0.192946E+04
   0.592986E-03   0.196659E+04
   0.604965E-03   0.200442E+04
   0.617186E-03   0.204296E+04
   0.629654E-03   0.208221E+04
   0.642374E-03   0.212220E+04
   0.655350E-03   0.216293E+04
   0.668589E-03   0.220442E+04
   0.682096E-03   0.224668E+04
   0.695875E-03   0.228973E+04
   0.709933E-03   0.233357E+04
   0.724274E-03   0.237822E+04
   0.738906E-03   0.242369E+04
   0.753832E-03   0.247000E+04
