#    L    TT             EE             TE             PP             TP          
     2   0.227085E+04   0.420773E-01   0.906845E+01   0.831263E+06  -0.216638E+05
     3   0.186742E+04   0.547993E-01   0.898505E+01   0.127231E+07  -0.239987E+05
     4   0.159951E+04   0.469450E-01   0.739471E+01   0.166027E+07  -0.254704E+05
     5   0.141950E+04   0.304325E-01   0.540238E+01   0.200023E+07  -0.264904E+05
     6   0.129470E+04   0.161542E-01   0.360767E+01   0.229826E+07  -0.271544E+05
     7   0.120544E+04   0.792702E-02   0.227412E+01   0.256085E+07  -0.275314E+05
     8   0.114091E+04   0.448903E-02   0.145577E+01   0.279311E+07  -0.277483E+05
     9   0.109495E+04   0.341793E-02   0.107848E+01   0.299949E+07  -0.278930E+05
    10   0.106213E+04   0.321810E-02   0.100750E+01   0.318313E+07  -0.279493E+05
    11   0.103772E+04   0.335997E-02   0.110584E+01   0.334772E+07  -0.278850E+05
    12   0.102122E+04   0.365141E-02   0.126122E+01   0.349410E+07  -0.277138E+05
    13   0.100862E+04   0.391933E-02   0.139776E+01   0.362597E+07  -0.274545E+05
    14   0.100104E+04   0.406489E-02   0.148463E+01   0.374351E+07  -0.272057E+05
    15   0.996737E+03   0.416309E-02   0.151927E+01   0.384943E+07  -0.269495E+05
    16   0.996728E+03   0.440980E-02   0.152800E+01   0.394421E+07  -0.266912E+05
    17   0.100026E+04   0.491801E-02   0.153419E+01   0.402900E+07  -0.264159E+05
    18   0.100566E+04   0.575291E-02   0.155783E+01   0.410517E+07  -0.261063E+05
    19   0.101348E+04   0.690574E-02   0.160863E+01   0.417325E+07  -0.257737E+05
    20   0.102199E+04   0.832720E-02   0.168132E+01   0.423371E+07  -0.254321E+05
    21   0.103174E+04   0.996016E-02   0.176778E+01   0.428738E+07  -0.250776E+05
    22   0.104261E+04   0.117700E-01   0.185472E+01   0.433511E+07  -0.247056E+05
    23   0.105417E+04   0.137476E-01   0.193442E+01   0.437732E+07  -0.243266E+05
    24   0.106673E+04   0.158988E-01   0.200081E+01   0.441433E+07  -0.239529E+05
    25   0.108041E+04   0.182329E-01   0.204427E+01   0.444661E+07  -0.235890E+05
    26   0.109469E+04   0.207751E-01   0.206823E+01   0.447463E+07  -0.232351E+05
    27   0.110984E+04   0.235867E-01   0.207864E+01   0.449875E+07  -0.228824E+05
    28   0.112557E+04   0.267051E-01   0.207734E+01   0.451928E+07  -0.225217E+05
    29   0.114182E+04   0.301350E-01   0.207650E+01   0.453627E+07  -0.221518E+05
    30   0.115882E+04   0.338710E-01   0.207332E+01   0.454982E+07  -0.217747E+05
    31   0.117585E+04   0.378915E-01   0.206902E+01   0.456034E+07  -0.213972E+05
    32   0.119361E+04   0.422097E-01   0.204820E+01   0.456827E+07  -0.210264E+05
    33   0.121158E+04   0.468274E-01   0.200938E+01   0.457377E+07  -0.206654E+05
    34   0.122979E+04   0.518078E-01   0.195637E+01   0.457697E+07  -0.203149E+05
    35   0.124897E+04   0.571339E-01   0.188317E+01   0.457802E+07  -0.199709E+05
    36   0.126826E+04   0.627976E-01   0.180261E+01   0.457709E+07  -0.196297E+05
    37   0.128804E+04   0.687990E-01   0.170880E+01   0.457435E+07  -0.192926E+05
    38   0.130826E+04   0.751136E-01   0.160296E+01   0.456990E+07  -0.189620E+05
    39   0.132881E+04   0.817583E-01   0.148389E+01   0.456387E+07  -0.186374E+05
    40   0.134967E+04   0.887628E-01   0.134877E+01   0.455632E+07  -0.183177E+05
    41   0.137080E+04   0.961525E-01   0.119553E+01   0.454735E+07  -0.180020E+05
    42   0.139219E+04   0.103933E+00   0.102499E+01   0.453706E+07  -0.176895E+05
    43   0.141386E+04   0.112106E+00   0.838273E+00   0.452553E+07  -0.173797E+05
    44   0.143582E+04   0.120670E+00   0.634929E+00   0.451287E+07  -0.170722E+05
    45   0.145815E+04   0.129621E+00   0.414188E+00   0.449918E+07  -0.167664E+05
    46   0.148079E+04   0.138953E+00   0.175793E+00   0.448453E+07  -0.164621E+05
    47   0.150373E+04   0.148668E+00  -0.803154E-01   0.446901E+07  -0.161611E+05
    48   0.152696E+04   0.158761E+00  -0.354171E+00   0.445267E+07  -0.158655E+05
    49   0.155046E+04   0.169225E+00  -0.645730E+00   0.443558E+07  -0.155774E+05
    50   0.157431E+04   0.180067E+00  -0.954812E+00   0.441780E+07  -0.152989E+05
    51   0.159855E+04   0.191293E+00  -0.128109E+01   0.439940E+07  -0.150312E+05
    52   0.162314E+04   0.202898E+00  -0.162386E+01   0.438042E+07  -0.147724E+05
    53   0.164797E+04   0.214878E+00  -0.198252E+01   0.436089E+07  -0.145197E+05
    54   0.167301E+04   0.227225E+00  -0.235735E+01   0.434087E+07  -0.142702E+05
    55   0.169824E+04   0.239934E+00  -0.274898E+01   0.432038E+07  -0.140212E+05
    56   0.172375E+04   0.252995E+00  -0.315851E+01   0.429947E+07  -0.137707E+05
    57   0.174966E+04   0.266399E+00  -0.358633E+01   0.427816E+07  -0.135197E+05
    58   0.177595E+04   0.280138E+00  -0.403195E+01   0.425648E+07  -0.132703E+05
    59   0.180254E+04   0.294208E+00  -0.449462E+01   0.423445E+07  -0.130244E+05
    60   0.182943E+04   0.308595E+00  -0.497314E+01   0.421209E+07  -0.127839E+05
    61   0.185665E+04   0.323287E+00  -0.546650E+01   0.418943E+07  -0.125503E+05
    62   0.188418E+04   0.338273E+00  -0.597464E+01   0.416651E+07  -0.123237E+05
    63   0.191203E+04   0.353543E+00  -0.649775E+01   0.414335E+07  -0.121037E+05
    64   0.194019E+04   0.369087E+00  -0.703602E+01   0.412000E+07  -0.118898E+05
    65   0.196866E+04   0.384896E+00  -0.758969E+01   0.409650E+07  -0.116818E+05
    66   0.199747E+04   0.400955E+00  -0.815901E+01   0.407287E+07  -0.114789E+05
    67   0.202661E+04   0.417248E+00  -0.874333E+01   0.404914E+07  -0.112806E+05
    68   0.205606E+04   0.433756E+00  -0.934176E+01   0.402532E+07  -0.110857E+05
    69   0.208578E+04   0.450461E+00  -0.995346E+01   0.400144E+07  -0.108933E+05
    70   0.211578E+04   0.467348E+00  -0.105778E+02   0.397750E+07  -0.107026E+05
    71   0.214602E+04   0.484402E+00  -0.112143E+02   0.395352E+07  -0.105128E+05
    72   0.217660E+04   0.501610E+00  -0.118632E+02   0.392952E+07  -0.103242E+05
    73   0.220761E+04   0.518959E+00  -0.125247E+02   0.390548E+07  -0.101374E+05
    74   0.223902E+04   0.536427E+00  -0.131980E+02   0.388142E+07  -0.995296E+04
    75   0.227080E+04   0.553994E+00  -0.138820E+02   0.385733E+07  -0.977143E+04
    76   0.230289E+04   0.571637E+00  -0.145753E+02   0.383322E+07  -0.959329E+04
    77   0.233518E+04   0.589335E+00  -0.152765E+02   0.380911E+07  -0.941871E+04
    78   0.236769E+04   0.607069E+00  -0.159852E+02   0.378500E+07  -0.924776E+04
    79   0.240050E+04   0.624817E+00  -0.167012E+02   0.376091E+07  -0.908054E+04
    80   0.243366E+04   0.642560E+00  -0.174245E+02   0.373686E+07  -0.891712E+04
    81   0.246721E+04   0.660277E+00  -0.181550E+02   0.371286E+07  -0.875757E+04
    82   0.250115E+04   0.677949E+00  -0.188916E+02   0.368891E+07  -0.860187E+04
    83   0.253543E+04   0.695553E+00  -0.196338E+02   0.366504E+07  -0.844994E+04
    84   0.257004E+04   0.713070E+00  -0.203803E+02   0.364125E+07  -0.830174E+04
    85   0.260493E+04   0.730478E+00  -0.211306E+02   0.361754E+07  -0.815721E+04
    86   0.264008E+04   0.747757E+00  -0.218835E+02   0.359393E+07  -0.801625E+04
    87   0.267547E+04   0.764885E+00  -0.226383E+02   0.357043E+07  -0.787856E+04
    88   0.271106E+04   0.781838E+00  -0.233942E+02   0.354703E+07  -0.774379E+04
    89   0.274688E+04   0.798593E+00  -0.241506E+02   0.352375E+07  -0.761161E+04
    90   0.278293E+04   0.815123E+00  -0.249068E+02   0.350058E+07  -0.748167E+04
    91   0.281923E+04   0.831406E+00  -0.256622E+02   0.347753E+07  -0.735367E+04
    92   0.285576E+04   0.847422E+00  -0.264161E+02   0.345461E+07  -0.722758E+04
    93   0.289253E+04   0.863152E+00  -0.271677E+02   0.343181E+07  -0.710337E+04
    94   0.292953E+04   0.878582E+00  -0.279164E+02   0.340914E+07  -0.698107E+04
    95   0.296676E+04   0.893691E+00  -0.286615E+02   0.338661E+07  -0.686067E+04
    96   0.300422E+04   0.908463E+00  -0.294020E+02   0.336420E+07  -0.674216E+04
    97   0.304189E+04   0.922878E+00  -0.301373E+02   0.334192E+07  -0.662557E+04
    98   0.307978E+04   0.936919E+00  -0.308665E+02   0.331978E+07  -0.651088E+04
    99   0.311785E+04   0.950566E+00  -0.315887E+02   0.329778E+07  -0.639809E+04
   100   0.315611E+04   0.963806E+00  -0.323032E+02   0.327592E+07  -0.628722E+04
   101   0.319455E+04   0.976620E+00  -0.330091E+02   0.325419E+07  -0.617825E+04
   102   0.323315E+04   0.988981E+00  -0.337057E+02   0.323261E+07  -0.607120E+04
   103   0.327191E+04   0.100089E+01  -0.343918E+02   0.321117E+07  -0.596607E+04
   104   0.331081E+04   0.101230E+01  -0.350669E+02   0.318988E+07  -0.586285E+04
   105   0.334983E+04   0.102322E+01  -0.357298E+02   0.316874E+07  -0.576155E+04
   106   0.338896E+04   0.103362E+01  -0.363797E+02   0.314775E+07  -0.566217E+04
   107   0.342819E+04   0.104349E+01  -0.370157E+02   0.312691E+07  -0.556471E+04
   108   0.346749E+04   0.105281E+01  -0.376370E+02   0.310622E+07  -0.546918E+04
   109   0.350686E+04   0.106156E+01  -0.382424E+02   0.308569E+07  -0.537557E+04
   110   0.354629E+04   0.106972E+01  -0.388313E+02   0.306531E+07  -0.528389E+04
   111   0.358575E+04   0.107728E+01  -0.394028E+02   0.304509E+07  -0.519413E+04
