#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.119454E-04   0.182433E+08   0.182433E+08   0.243126E+08   0.243123E+08   0.182413E+08   0.182433E+08   0.182433E+08   0.182494E+08  -0.436150E+00   0.111804E+08   0.111804E+08   0.532529E+01
   0.132013E-04   0.182433E+08   0.182433E+08   0.243100E+08   0.243097E+08   0.182413E+08   0.182433E+08   0.182433E+08   0.182494E+08  -0.436150E+00   0.111804E+08   0.111803E+08   0.588497E+01
   0.145891E-04   0.182433E+08   0.182433E+08   0.243068E+08   0.243064E+08   0.182413E+08   0.182433E+08   0.182433E+08   0.182494E+08  -0.436150E+00   0.111803E+08   0.111803E+08   0.650342E+01
   0.161229E-04   0.182433E+08   0.182433E+08   0.243028E+08   0.243024E+08   0.182412E+08   0.182433E+08   0.182433E+08   0.182494E+08  -0.436150E+00   0.111803E+08   0.111803E+08   0.718681E+01
   0.178179E-04   0.182433E+08   0.182433E+08   0.242981E+08   0.242975E+08   0.182412E+08   0.182433E+08   0.182433E+08   0.182494E+08  -0.436149E+00   0.111803E+08   0.111803E+08   0.794193E+01
   0.196911E-04   0.182433E+08   0.182433E+08   0.242922E+08   0.242915E+08   0.182412E+08   0.182433E+08   0.182433E+08   0.182494E+08  -0.436149E+00   0.111803E+08   0.111803E+08   0.877628E+01
   0.217613E-04   0.182433E+08   0.182433E+08   0.242851E+08   0.242842E+08   0.182411E+08   0.182432E+08   0.182433E+08   0.182494E+08  -0.436148E+00   0.111803E+08   0.111803E+08   0.969815E+01
   0.240491E-04   0.182432E+08   0.182432E+08   0.242764E+08   0.242754E+08   0.182411E+08   0.182432E+08   0.182432E+08   0.182494E+08  -0.436148E+00   0.111803E+08   0.111803E+08   0.107166E+02
   0.265774E-04   0.182432E+08   0.182432E+08   0.242658E+08   0.242645E+08   0.182410E+08   0.182432E+08   0.182432E+08   0.182493E+08  -0.436147E+00   0.111803E+08   0.111803E+08   0.118419E+02
   0.293715E-04   0.182432E+08   0.182432E+08   0.242528E+08   0.242513E+08   0.182409E+08   0.182432E+08   0.182432E+08   0.182493E+08  -0.436146E+00   0.111803E+08   0.111803E+08   0.130848E+02
   0.324593E-04   0.182431E+08   0.182431E+08   0.242370E+08   0.242351E+08   0.182408E+08   0.182431E+08   0.182431E+08   0.182493E+08  -0.436145E+00   0.111802E+08   0.111802E+08   0.144578E+02
   0.358718E-04   0.182431E+08   0.182431E+08   0.242176E+08   0.242153E+08   0.182407E+08   0.182431E+08   0.182431E+08   0.182492E+08  -0.436144E+00   0.111802E+08   0.111802E+08   0.159743E+02
   0.396430E-04   0.182430E+08   0.182430E+08   0.241940E+08   0.241913E+08   0.182406E+08   0.182430E+08   0.182430E+08   0.182491E+08  -0.436142E+00   0.111802E+08   0.111802E+08   0.176489E+02
   0.438108E-04   0.182430E+08   0.182430E+08   0.241653E+08   0.241619E+08   0.182404E+08   0.182430E+08   0.182430E+08   0.182491E+08  -0.436141E+00   0.111801E+08   0.111801E+08   0.194978E+02
   0.484166E-04   0.182429E+08   0.182429E+08   0.241302E+08   0.241260E+08   0.182402E+08   0.182429E+08   0.182429E+08   0.182490E+08  -0.436138E+00   0.111801E+08   0.111801E+08   0.215389E+02
   0.535067E-04   0.182428E+08   0.182428E+08   0.240874E+08   0.240823E+08   0.182399E+08   0.182428E+08   0.182428E+08   0.182489E+08  -0.436136E+00   0.111800E+08   0.111800E+08   0.237916E+02
   0.591319E-04   0.182427E+08   0.182427E+08   0.240352E+08   0.240290E+08   0.182396E+08   0.182427E+08   0.182427E+08   0.182487E+08  -0.436132E+00   0.111799E+08   0.111799E+08   0.262770E+02
   0.653485E-04   0.182425E+08   0.182425E+08   0.239716E+08   0.239641E+08   0.182392E+08   0.182425E+08   0.182425E+08   0.182486E+08  -0.436128E+00   0.111799E+08   0.111798E+08   0.290181E+02
   0.722186E-04   0.182424E+08   0.182423E+08   0.238942E+08   0.238851E+08   0.182387E+08   0.182423E+08   0.182424E+08   0.182484E+08  -0.436123E+00   0.111797E+08   0.111797E+08   0.320399E+02
   0.798110E-04   0.182421E+08   0.182421E+08   0.238000E+08   0.237888E+08   0.182381E+08   0.182421E+08   0.182421E+08   0.182481E+08  -0.436117E+00   0.111796E+08   0.111796E+08   0.353695E+02
   0.882016E-04   0.182419E+08   0.182418E+08   0.236854E+08   0.236718E+08   0.182374E+08   0.182418E+08   0.182419E+08   0.182478E+08  -0.436109E+00   0.111794E+08   0.111794E+08   0.390355E+02
   0.974744E-04   0.182415E+08   0.182415E+08   0.235461E+08   0.235296E+08   0.182365E+08   0.182415E+08   0.182415E+08   0.182475E+08  -0.436100E+00   0.111792E+08   0.111792E+08   0.430688E+02
   0.107722E-03   0.182411E+08   0.182411E+08   0.233771E+08   0.233571E+08   0.182354E+08   0.182411E+08   0.182411E+08   0.182470E+08  -0.436089E+00   0.111790E+08   0.111789E+08   0.475017E+02
   0.119047E-03   0.182407E+08   0.182406E+08   0.231722E+08   0.231480E+08   0.182341E+08   0.182406E+08   0.182407E+08   0.182465E+08  -0.436075E+00   0.111787E+08   0.111786E+08   0.523678E+02
